date,total_trades,total_volume_usd,avg_trade_size_usd,net_pnl,profitable_trades,win_rate,classification,sentiment_binary
2023-05-01,3,477.0,159.0,0.0,0,0.0,Greed,1
2023-12-05,9,50005.83,5556.203333333334,0.0,0,0.0,Greed,1
2023-12-14,11,113203.35,10291.213636363636,-205.43473700000007,4,0.36363636363636365,Greed,1
2023-12-15,2,10609.95,5304.975,-24.632033999999997,0,0.0,Greed,1
2023-12-16,3,15348.77,5116.256666666667,0.0,0,0.0,Greed,1
2023-12-17,14,116278.02,8305.572857142857,304.982785,7,0.5,Greed,1
2023-12-18,2,31164.179999999997,15582.089999999998,0.0,0,0.0,Greed,1
2023-12-19,15,91602.41,6106.827333333334,1000.5386120000001,10,0.6666666666666666,Greed,1
2023-12-20,18,141636.79,7868.710555555556,162.732282,8,0.4444444444444444,Greed,1
2023-12-21,49,125233.97,2555.795306122449,537.211402,26,0.5306122448979592,Greed,1
2023-12-22,10,88874.28,8887.428,141.832675,2,0.2,Greed,1
2023-12-23,13,78438.25,6033.711538461538,146.936704,8,0.6153846153846154,Greed,1
2023-12-24,39,402954.94,10332.177948717948,1008.619956,15,0.38461538461538464,Greed,1
2023-12-25,3,59948.51,19982.836666666666,-245.081348,0,0.0,Greed,1
2023-12-27,28,171411.06,6121.823571428571,-704.8892269999999,4,0.14285714285714285,Greed,1
2023-12-28,23,100117.25,4352.923913043478,-970.730876,0,0.0,Greed,1
2023-12-29,50,569559.72,11391.1944,508.92214299999995,15,0.3,Greed,1
2023-12-30,52,702550.21,13510.58096153846,354.998648,23,0.4423076923076923,Greed,1
2024-01-01,18,264239.52999999997,14679.973888888888,-129.53146,1,0.05555555555555555,Greed,1
2024-01-02,17,121348.74,7138.1611764705885,783.979116,8,0.47058823529411764,Greed,1
2024-01-03,67,394499.36,5888.050149253731,866.015507,28,0.417910447761194,Greed,1
2024-01-04,5,99792.54000000001,19958.508,-67.60364,0,0.0,Greed,1
2024-01-05,66,1703942.66,25817.31303030303,164.141565,13,0.19696969696969696,Greed,1
2024-01-06,22,298521.4,13569.154545454547,135.58166400000002,10,0.45454545454545453,Greed,1
2024-01-07,97,1048850.06,10812.887216494846,-835.681235,9,0.09278350515463918,Greed,1
